s	t	ans
AAAAB	ABBAA	-1
AAABA	ABBAA	-1
AAABB	ABBAA	-1
AABAA	ABBAA	1
AABAB	ABBAA	-1
AABBA	ABBAA	-1
AABBB	ABBAA	-1
ABAAA	ABBAA	1
ABAAB	ABBAA	-1
ABABA	ABBAA	-1
ABABB	ABBAA	-1
ABBAA	ABBAA	0
ABBAB	ABBAA	-1
ABBBA	ABBAA	-1
ABBBB	ABBAA	-1
BAAAA	ABBAA	2
BAAAB	ABBAA	-1
BAABA	ABBAA	-1
BAABB	ABBAA	-1
BABAA	ABBAA	1
BABAB	ABBAA	-1
BABBA	ABBAA	-1
BABBB	ABBAA	-1
BBAAA	ABBAA	1
BBAAB	ABBAA	-1
BBABA	ABBAA	-1
BBABB	ABBAA	-1
BBBAA	ABBAA	1
BBBAB	ABBAA	-1
BBBBA	ABBAA	-1
BBBBB	ABBAA	-1
AAAAA	ABBAB	3
AAAAB	ABBAB	2
AAABA	ABBAB	3
AAABB	ABBAB	2
AABAA	ABBAB	2
AABAB	ABBAB	1
AABBA	ABBAB	2
AABBB	ABBAB	1
ABAAA	ABBAB	2
ABAAB	ABBAB	1
ABABA	ABBAB	2
ABABB	ABBAB	1
ABBAA	ABBAB	1
ABBAB	ABBAB	0
ABBBA	ABBAB	1
ABBBB	ABBAB	1
BAAAA	ABBAB	3
BAAAB	ABBAB	2
BAABA	ABBAB	3
BAABB	ABBAB	2
BABAA	ABBAB	2
BABAB	ABBAB	1
BABBA	ABBAB	2
BABBB	ABBAB	2
BBAAA	ABBAB	2
BBAAB	ABBAB	1
BBABA	ABBAB	2
BBABB	ABBAB	2
BBBAA	ABBAB	1
BBBAB	ABBAB	1
BBBBA	ABBAB	2
BBBBB	ABBAB	2
AAAAA	ABBBA	3
AAAAB	ABBBA	-1
AAABA	ABBBA	2
AAABB	ABBBA	-1
AABAA	ABBBA	2
AABAB	ABBBA	-1
AABBA	ABBBA	1
AABBB	ABBBA	-1
ABAAA	ABBBA	2
ABAAB	ABBBA	-1
ABABA	ABBBA	1
ABABB	ABBBA	-1
ABBAA	ABBBA	1
ABBAB	ABBBA	-1
ABBBA	ABBBA	0
ABBBB	ABBBA	-1
BAAAA	ABBBA	3
BAAAB	ABBBA	-1
BAABA	ABBBA	2
BAABB	ABBBA	-1
BABAA	ABBBA	2
BABAB	ABBBA	-1
BABBA	ABBBA	1
BABBB	ABBBA	-1
BBAAA	ABBBA	2
BBAAB	ABBBA	-1
BBABA	ABBBA	1
BBABB	ABBBA	-1
BBBAA	ABBBA	1
BBBAB	ABBBA	-1
BBBBA	ABBBA	1
BBBBB	ABBBA	-1
AAAAA	ABBBB	4
AAAAB	ABBBB	3
AAABA	ABBBB	3
AAABB	ABBBB	2
AABAA	ABBBB	3
AABAB	ABBBB	2
AABBA	ABBBB	2
AABBB	ABBBB	1
ABAAA	ABBBB	3
ABAAB	ABBBB	2
ABABA	ABBBB	2
ABABB	ABBBB	1
ABBAA	ABBBB	2
ABBAB	ABBBB	1
ABBBA	ABBBB	1
ABBBB	ABBBB	0
BAAAA	ABBBB	4
BAAAB	ABBBB	3
BAABA	ABBBB	3
BAABB	ABBBB	2
BABAA	ABBBB	3
BABAB	ABBBB	2
BABBA	ABBBB	2
BABBB	ABBBB	1
BBAAA	ABBBB	3
BBAAB	ABBBB	2
BBABA	ABBBB	2
BBABB	ABBBB	1
BBBAA	ABBBB	2
BBBAB	ABBBB	1
BBBBA	ABBBB	1
BBBBB	ABBBB	1
AAAAA	BAAAA	-1
AAAAB	BAAAA	-1
AAABA	BAAAA	-1
AAABB	BAAAA	-1
AABAA	BAAAA	-1
AABAB	BAAAA	-1
AABBA	BAAAA	-1
AABBB	BAAAA	-1
ABAAA	BAAAA	-1
ABAAB	BAAAA	-1
ABABA	BAAAA	-1
ABABB	BAAAA	-1
ABBAA	BAAAA	-1
ABBAB	BAAAA	-1
ABBBA	BAAAA	-1
ABBBB	BAAAA	-1
BAAAA	BAAAA	0
BAAAB	BAAAA	-1
BAABA	BAAAA	-1
BAABB	BAAAA	-1
BABAA	BAAAA	-1
BABAB	BAAAA	-1
BABBA	BAAAA	-1
BABBB	BAAAA	-1
BBAAA	BAAAA	-1
BBAAB	BAAAA	-1
BBABA	BAAAA	-1
BBABB	BAAAA	-1
BBBAA	BAAAA	-1
BBBAB	BAAAA	-1
BBBBA	BAAAA	-1
BBBBB	BAAAA	-1
AAAAA	BAAAB	-1
AAAAB	BAAAB	-1
AAABA	BAAAB	-1
AAABB	BAAAB	-1
AABAA	BAAAB	-1
AABAB	BAAAB	-1
AABBA	BAAAB	-1
AABBB	BAAAB	-1
ABAAA	BAAAB	-1
ABAAB	BAAAB	-1
ABABA	BAAAB	-1
ABABB	BAAAB	-1
ABBAA	BAAAB	-1
ABBAB	BAAAB	-1
ABBBA	BAAAB	-1
ABBBB	BAAAB	-1
BAAAA	BAAAB	1
BAAAB	BAAAB	0
BAABA	BAAAB	1
BAABB	BAAAB	1
BABAA	BAAAB	1
BABAB	BAAAB	1
BABBA	BAAAB	2
BABBB	BAAAB	2
BBAAA	BAAAB	1
BBAAB	BAAAB	1
BBABA	BAAAB	2
BBABB	BAAAB	2
BBBAA	BAAAB	2
BBBAB	BAAAB	2
BBBBA	BAAAB	3
BBBBB	BAAAB	3
AAAAA	BAABA	-1
AAAAB	BAABA	-1
AAABA	BAABA	-1
AAABB	BAABA	-1
AABAA	BAABA	-1
AABAB	BAABA	-1
AABBA	BAABA	-1
AABBB	BAABA	-1
ABAAA	BAABA	-1
ABAAB	BAABA	-1
ABABA	BAABA	-1
ABABB	BAABA	-1
ABBAA	BAABA	-1
ABBAB	BAABA	-1
ABBBA	BAABA	-1
ABBBB	BAABA	-1
BAAAA	BAABA	1
BAAAB	BAABA	-1
BAABA	BAABA	0
BAABB	BAABA	-1
BABAA	BAABA	1
BABAB	BAABA	-1
BABBA	BAABA	1
BABBB	BAABA	-1
BBAAA	BAABA	1
BBAAB	BAABA	-1
BBABA	BAABA	1
BBABB	BAABA	-1
BBBAA	BAABA	2
BBBAB	BAABA	-1
BBBBA	BAABA	2
BBBBB	BAABA	-1
AAAAA	BAABB	-1
AAAAB	BAABB	-1
AAABA	BAABB	-1
AAABB	BAABB	-1
AABAA	BAABB	-1
AABAB	BAABB	-1
AABBA	BAABB	-1
AABBB	BAABB	-1
ABAAA	BAABB	-1
ABAAB	BAABB	-1
ABABA	BAABB	-1
ABABB	BAABB	-1
ABBAA	BAABB	-1
ABBAB	BAABB	-1
ABBBA	BAABB	-1
ABBBB	BAABB	-1
BAAAA	BAABB	2
BAAAB	BAABB	1
BAABA	BAABB	1
BAABB	BAABB	0
BABAA	BAABB	2
BABAB	BAABB	1
BABBA	BAABB	1
BABBB	BAABB	1
BBAAA	BAABB	2
BBAAB	BAABB	1
BBABA	BAABB	1
BBABB	BAABB	1
BBBAA	BAABB	2
BBBAB	BAABB	2
BBBBA	BAABB	2
BBBBB	BAABB	2
AAAAA	BABAA	-1
AAAAB	BABAA	-1
AAABA	BABAA	-1
AAABB	BABAA	-1
AABAA	BABAA	-1
AABAB	BABAA	-1
AABBA	BABAA	-1
AABBB	BABAA	-1
ABAAA	BABAA	-1
ABAAB	BABAA	-1
ABABA	BABAA	-1
ABABB	BABAA	-1
ABBAA	BABAA	-1
ABBAB	BABAA	-1
ABBBA	BABAA	-1
ABBBB	BABAA	-1
BAAAA	BABAA	1
BAAAB	BABAA	-1
BAABA	BABAA	-1
BAABB	BABAA	-1
BABAA	BABAA	0
BABAB	BABAA	-1
BABBA	BABAA	-1
BABBB	BABAA	-1
BBAAA	BABAA	1
BBAAB	BABAA	-1
BBABA	BABAA	-1
BBABB	BABAA	-1
BBBAA	BABAA	1
BBBAB	BABAA	-1
BBBBA	BABAA	-1
BBBBB	BABAA	-1
AAAAA	BABAB	-1
AAAAB	BABAB	-1
AAABA	BABAB	-1
AAABB	BABAB	-1
AABAA	BABAB	-1
AABAB	BABAB	-1
AABBA	BABAB	-1
AABBB	BABAB	-1
ABAAA	BABAB	-1
ABAAB	BABAB	-1
ABABA	BABAB	-1
ABABB	BABAB	-1
ABBAA	BABAB	-1
ABBAB	BABAB	-1
ABBBA	BABAB	-1
ABBBB	BABAB	-1
BAAAA	BABAB	2
BAAAB	BABAB	1
BAABA	BABAB	2
BAABB	BABAB	1
BABAA	BABAB	1
BABAB	BABAB	0
BABBA	BABAB	1
BABBB	BABAB	1
BBAAA	BABAB	2
BBAAB	BABAB	1
BBABA	BABAB	2
BBABB	BABAB	2
BBBAA	BABAB	1
BBBAB	BABAB	1
BBBBA	BABAB	2
BBBBB	BABAB	2
AAAAA	BABBA	-1
AAAAB	BABBA	-1
AAABA	BABBA	-1
AAABB	BABBA	-1
AABAA	BABBA	-1
AABAB	BABBA	-1
AABBA	BABBA	-1
AABBB	BABBA	-1
ABAAA	BABBA	-1
ABAAB	BABBA	-1
ABABA	BABBA	-1
ABABB	BABBA	-1
ABBAA	BABBA	-1
ABBAB	BABBA	-1
ABBBA	BABBA	-1
ABBBB	BABBA	-1
BAAAA	BABBA	2
BAAAB	BABBA	-1
BAABA	BABBA	1
BAABB	BABBA	-1
BABAA	BABBA	1
BABAB	BABBA	-1
BABBA	BABBA	0
BABBB	BABBA	-1
BBAAA	BABBA	2
BBAAB	BABBA	-1
BBABA	BABBA	1
BBABB	BABBA	-1
BBBAA	BABBA	1
BBBAB	BABBA	-1
BBBBA	BABBA	1
BBBBB	BABBA	-1
AAAAA	BABBB	-1
AAAAB	BABBB	-1
AAABA	BABBB	-1
AAABB	BABBB	-1
AABAA	BABBB	-1
AABAB	BABBB	-1
AABBA	BABBB	-1
AABBB	BABBB	-1
ABAAA	BABBB	-1
ABAAB	BABBB	-1
ABABA	BABBB	-1
ABABB	BABBB	-1
ABBAA	BABBB	-1
ABBAB	BABBB	-1
ABBBA	BABBB	-1
ABBBB	BABBB	-1
BAAAA	BABBB	3
BAAAB	BABBB	2
BAABA	BABBB	2
BAABB	BABBB	1
BABAA	BABBB	2
BABAB	BABBB	1
BABBA	BABBB	1
BABBB	BABBB	0
BBAAA	BABBB	3
BBAAB	BABBB	2
BBABA	BABBB	2
BBABB	BABBB	1
BBBAA	BABBB	2
BBBAB	BABBB	1
BBBBA	BABBB	1
BBBBB	BABBB	1
AAAAA	BBAAA	-1
AAAAB	BBAAA	-1
AAABA	BBAAA	-1
AAABB	BBAAA	-1
AABAA	BBAAA	-1
AABAB	BBAAA	-1
AABBA	BBAAA	-1
AABBB	BBAAA	-1
ABAAA	BBAAA	-1
ABAAB	BBAAA	-1
ABABA	BBAAA	-1
ABABB	BBAAA	-1
ABBAA	BBAAA	-1
ABBAB	BBAAA	-1
ABBBA	BBAAA	-1
ABBBB	BBAAA	-1
BAAAA	BBAAA	-1
BAAAB	BBAAA	-1
BAABA	BBAAA	-1
BAABB	BBAAA	-1
BABAA	BBAAA	-1
BABAB	BBAAA	-1
BABBA	BBAAA	-1
BABBB	BBAAA	-1
BBAAA	BBAAA	0
BBAAB	BBAAA	-1
BBABA	BBAAA	-1
BBABB	BBAAA	-1
BBBAA	BBAAA	-1
BBBAB	BBAAA	-1
BBBBA	BBAAA	-1
BBBBB	BBAAA	-1
AAAAA	BBAAB	-1
AAAAB	BBAAB	-1
AAABA	BBAAB	-1
AAABB	BBAAB	-1
AABAA	BBAAB	-1
AABAB	BBAAB	-1
AABBA	BBAAB	-1
AABBB	BBAAB	-1
ABAAA	BBAAB	-1
ABAAB	BBAAB	-1
ABABA	BBAAB	-1
ABABB	BBAAB	-1
ABBAA	BBAAB	-1
ABBAB	BBAAB	-1
ABBBA	BBAAB	-1
ABBBB	BBAAB	-1
BAAAA	BBAAB	-1
BAAAB	BBAAB	-1
BAABA	BBAAB	-1
BAABB	BBAAB	-1
BABAA	BBAAB	-1
BABAB	BBAAB	-1
BABBA	BBAAB	-1
BABBB	BBAAB	-1
BBAAA	BBAAB	1
BBAAB	BBAAB	0
BBABA	BBAAB	1
BBABB	BBAAB	1
BBBAA	BBAAB	1
BBBAB	BBAAB	1
BBBBA	BBAAB	2
BBBBB	BBAAB	2
AAAAA	BBABA	-1
AAAAB	BBABA	-1
AAABA	BBABA	-1
AAABB	BBABA	-1
AABAA	BBABA	-1
AABAB	BBABA	-1
AABBA	BBABA	-1
AABBB	BBABA	-1
ABAAA	BBABA	-1
ABAAB	BBABA	-1
ABABA	BBABA	-1
ABABB	BBABA	-1
ABBAA	BBABA	-1
ABBAB	BBABA	-1
ABBBA	BBABA	-1
ABBBB	BBABA	-1
BAAAA	BBABA	-1
BAAAB	BBABA	-1
BAABA	BBABA	-1
BAABB	BBABA	-1
BABAA	BBABA	-1
BABAB	BBABA	-1
BABBA	BBABA	-1
BABBB	BBABA	-1
BBAAA	BBABA	1
BBAAB	BBABA	-1
BBABA	BBABA	0
BBABB	BBABA	-1
BBBAA	BBABA	1
BBBAB	BBABA	-1
BBBBA	BBABA	1
BBBBB	BBABA	-1
AAAAA	BBABB	-1
AAAAB	BBABB	-1
AAABA	BBABB	-1
AAABB	BBABB	-1
AABAA	BBABB	-1
AABAB	BBABB	-1
AABBA	BBABB	-1
AABBB	BBABB	-1
ABAAA	BBABB	-1
ABAAB	BBABB	-1
ABABA	BBABB	-1
ABABB	BBABB	-1
ABBAA	BBABB	-1
ABBAB	BBABB	-1
ABBBA	BBABB	-1
ABBBB	BBABB	-1
BAAAA	BBABB	-1
BAAAB	BBABB	-1
BAABA	BBABB	-1
BAABB	BBABB	-1
BABAA	BBABB	-1
BABAB	BBABB	-1
BABBA	BBABB	-1
BABBB	BBABB	-1
BBAAA	BBABB	2
BBAAB	BBABB	1
BBABA	BBABB	1
BBABB	BBABB	0
BBBAA	BBABB	2
BBBAB	BBABB	1
BBBBA	BBABB	1
BBBBB	BBABB	1
AAAAA	BBBAA	-1
AAAAB	BBBAA	-1
AAABA	BBBAA	-1
AAABB	BBBAA	-1
AABAA	BBBAA	-1
AABAB	BBBAA	-1
AABBA	BBBAA	-1
AABBB	BBBAA	-1
ABAAA	BBBAA	-1
ABAAB	BBBAA	-1
ABABA	BBBAA	-1
ABABB	BBBAA	-1
ABBAA	BBBAA	-1
ABBAB	BBBAA	-1
ABBBA	BBBAA	-1
ABBBB	BBBAA	-1
BAAAA	BBBAA	-1
BAAAB	BBBAA	-1
BAABA	BBBAA	-1
BAABB	BBBAA	-1
BABAA	BBBAA	-1
BABAB	BBBAA	-1
BABBA	BBBAA	-1
BABBB	BBBAA	-1
BBAAA	BBBAA	-1
BBAAB	BBBAA	-1
BBABA	BBBAA	-1
BBABB	BBBAA	-1
BBBAA	BBBAA	0
BBBAB	BBBAA	-1
BBBBA	BBBAA	-1
BBBBB	BBBAA	-1
AAAAA	BBBAB	-1
AAAAB	BBBAB	-1
AAABA	BBBAB	-1
AAABB	BBBAB	-1
AABAA	BBBAB	-1
AABAB	BBBAB	-1
AABBA	BBBAB	-1
AABBB	BBBAB	-1
ABAAA	BBBAB	-1
ABAAB	BBBAB	-1
ABABA	BBBAB	-1
ABABB	BBBAB	-1
ABBAA	BBBAB	-1
ABBAB	BBBAB	-1
ABBBA	BBBAB	-1
ABBBB	BBBAB	-1
BAAAA	BBBAB	-1
BAAAB	BBBAB	-1
BAABA	BBBAB	-1
BAABB	BBBAB	-1
BABAA	BBBAB	-1
BABAB	BBBAB	-1
BABBA	BBBAB	-1
BABBB	BBBAB	-1
BBAAA	BBBAB	-1
BBAAB	BBBAB	-1
BBABA	BBBAB	-1
BBABB	BBBAB	-1
BBBAA	BBBAB	1
BBBAB	BBBAB	0
BBBBA	BBBAB	1
BBBBB	BBBAB	1
AAAAA	BBBBA	-1
AAAAB	BBBBA	-1
AAABA	BBBBA	-1
AAABB	BBBBA	-1
AABAA	BBBBA	-1
AABAB	BBBBA	-1
AABBA	BBBBA	-1
AABBB	BBBBA	-1
ABAAA	BBBBA	-1
ABAAB	BBBBA	-1
ABABA	BBBBA	-1
ABABB	BBBBA	-1
ABBAA	BBBBA	-1
ABBAB	BBBBA	-1
ABBBA	BBBBA	-1
ABBBB	BBBBA	-1
BAAAA	BBBBA	-1
BAAAB	BBBBA	-1
BAABA	BBBBA	-1
BAABB	BBBBA	-1
BABAA	BBBBA	-1
BABAB	BBBBA	-1
BABBA	BBBBA	-1
BABBB	BBBBA	-1
BBAAA	BBBBA	-1
BBAAB	BBBBA	-1
BBABA	BBBBA	-1
BBABB	BBBBA	-1
BBBAA	BBBBA	-1
BBBAB	BBBBA	-1
BBBBA	BBBBA	0
BBBBB	BBBBA	-1
AAAAA	BBBBB	-1
AAAAB	BBBBB	-1
AAABA	BBBBB	-1
AAABB	BBBBB	-1
AABAA	BBBBB	-1
AABAB	BBBBB	-1
AABBA	BBBBB	-1
AABBB	BBBBB	-1
ABAAA	BBBBB	-1
ABAAB	BBBBB	-1
ABABA	BBBBB	-1
ABABB	BBBBB	-1
ABBAA	BBBBB	-1
ABBAB	BBBBB	-1
ABBBA	BBBBB	-1
ABBBB	BBBBB	-1
BAAAA	BBBBB	-1
BAAAB	BBBBB	-1
BAABA	BBBBB	-1
BAABB	BBBBB	-1
BABAA	BBBBB	-1
BABAB	BBBBB	-1
BABBA	BBBBB	-1
BABBB	BBBBB	-1
BBAAA	BBBBB	-1
BBAAB	BBBBB	-1
BBABA	BBBBB	-1
BBABB	BBBBB	-1
BBBAA	BBBBB	-1
BBBAB	BBBBB	-1
BBBBA	BBBBB	-1
BBBBB	BBBBB	0
