i	calc
1107	331
1108	331
1109	331
1110	331
1111	331
1112	331
1113	331
1114	331
1115	331
1116	331
1117	331
1118	331
1119	331
1120	331
1121	331
1122	331
1123	331
1124	331
1125	331
1126	331
1127	331
1128	331
1129	331
1130	331
1131	331
1132	331
1133	331
1134	331
1135	331
1136	331
1137	331
1138	331
1139	331
1140	331
1141	331
1142	331
1143	331
1144	331
1145	331
1146	331
1147	331
1148	331
1149	331
1150	331
1151	331
1152	331
1153	331
1154	331
1155	331
1156	331
1157	331
1158	331
1159	331
1160	331
1161	331
1162	331
1163	331
1164	331
1165	331
1166	331
1167	331
1168	331
1169	331
1170	331
1171	331
1172	331
1173	331
1174	331
1175	331
1176	331
1177	331
1178	331
1179	331
1180	331
1181	331
1182	331
1183	331
1184	331
1185	331
1186	331
1187	331
1188	331
1189	331
1190	331
1191	331
1192	331
1193	331
1194	331
1195	331
1196	331
1197	331
1198	331
1199	331
1200	331
1201	331
1202	331
1203	331
1204	331
1205	331
1206	331
1207	331
1208	331
1209	331
1210	331
1211	331
1212	331
1213	331
1214	331
1215	331
1216	331
1217	331
1218	331
1219	331
1220	331
1221	331
1222	331
1223	331
1224	331
1225	331
1226	331
1227	331
1228	331
1229	331
1230	331
1231	331
1232	331
1233	331
1234	331
1235	331
1236	331
1237	331
1238	331
1239	331
1240	331
1241	331
1242	331
1243	331
1244	331
1245	331
1246	331
1247	331
1248	331
1249	331
1250	331
1251	331
1252	331
1253	331
1254	331
1255	331
1256	331
1257	331
1258	331
1259	331
1260	331
1261	331
1262	331
1263	331
1264	331
1265	331
1266	331
1267	331
1268	331
1269	331
1270	331
1271	331
1272	331
1273	331
1274	331
1275	331
1276	331
1277	331
1278	331
1279	331
1280	331
1281	331
1282	331
1283	331
1284	331
1285	331
1286	331
1287	331
1288	331
1289	331
1290	331
1291	331
1292	331
1293	331
1294	331
1295	331
1296	331
1297	331
1298	331
1299	331
1300	331
1301	331
1302	331
1303	331
1304	331
1305	331
1306	331
1307	331
1308	331
1309	331
1310	331
1311	331
1312	331
1313	331
1314	331
1315	331
1316	331
1317	331
1318	331
1319	331
1320	331
1321	331
1322	331
1323	331
1324	331
1325	331
1326	331
1327	331
1328	331
1329	331
1330	331
1331	331
1332	331
1333	331
1334	331
1335	331
1336	331
1337	331
1338	331
1339	331
1340	331
1341	331
1342	331
1343	331
1344	331
1345	331
1346	331
1347	331
1348	331
1349	331
1350	331
1351	331
1352	331
1353	331
1354	331
1355	331
1356	331
1357	331
1358	331
1359	331
1360	331
1361	331
1362	331
1363	331
1364	331
1365	331
1366	331
1367	331
1368	331
1369	331
1370	331
1371	331
1372	331
1373	331
1374	331
1375	331
1376	331
1377	331
1378	331
1379	331
1380	331
1381	331
1382	331
1383	331
1384	331
1385	331
1386	331
1387	331
1388	331
1389	331
1390	331
1391	331
1392	331
1393	331
1394	331
1395	331
1396	331
1397	331
1398	331
1399	331
1400	331
1401	331
1402	331
1403	331
1404	331
1405	331
1406	331
1407	331
1408	331
1409	331
1410	331
1411	331
1412	331
1413	331
1414	331
1415	331
1416	331
1417	331
1418	331
1419	331
1420	331
1421	331
1422	331
1423	331
1424	331
1425	331
1426	331
1427	331
1428	331
1429	331
1430	331
1431	331
1432	331
1433	331
1434	331
1435	331
1436	331
1437	331
1438	331
1439	331
1440	331
1441	331
1442	331
1443	331
1444	331
1445	331
1446	331
1447	331
1448	331
1449	331
1450	331
1451	331
1452	331
1453	331
1454	331
1455	331
1456	331
1457	331
1458	331
1459	331
1460	331
1461	331
1462	331
1463	331
1464	331
1465	331
1466	331
1467	331
1468	331
1469	331
1470	331
1471	331
1472	331
1473	331
1474	331
1475	331
1476	331
1477	331
1478	331
1479	331
1480	331
1481	331
1482	331
1483	331
1484	331
1485	331
1486	331
1487	331
1488	331
1489	331
1490	331
1491	331
1492	331
1493	331
1494	331
1495	331
1496	331
1497	331
1498	331
1499	331
1500	331
1501	331
1502	331
1503	331
1504	331
1505	331
1506	331
1507	331
1508	331
1509	331
1510	331
1511	331
1512	331
1513	331
1514	331
1515	331
1516	331
1517	331
1518	331
1519	331
1520	331
1521	331
1522	331
1523	331
1524	331
1525	331
1526	331
1527	331
1528	331
1529	331
1530	331
1531	331
1532	331
1533	331
1534	331
1535	331
1536	331
1537	331
1538	331
1539	331
1540	331
1541	331
1542	331
1543	331
1544	331
1545	331
1546	331
1547	331
1548	331
1549	331
1550	331
1551	331
1552	331
1553	331
1554	331
1555	331
1556	331
1557	331
1558	331
1559	331
1560	331
1561	331
1562	331
1563	331
1564	331
1565	331
1566	331
1567	331
1568	331
1569	331
1570	331
1571	331
1572	331
1573	331
1574	331
1575	331
1576	331
1577	331
1578	331
1579	331
1580	331
1581	331
1582	331
1583	331
1584	331
1585	331
1586	331
1587	331
1588	331
1589	331
1590	331
1591	331
1592	331
1593	331
1594	331
1595	331
1596	331
1597	331
1598	331
1599	331
1600	331
1601	331
1602	331
1603	331
1604	331
1605	331
1606	331
1607	331
1608	331
1609	331
1610	331
1611	331
1612	331
1613	331
1614	331
1615	331
1616	331
1617	331
1618	331
1619	331
1620	331
1621	331
1622	331
1623	331
1624	331
1625	331
1626	331
1627	331
1628	331
1629	331
1630	331
1631	331
1632	331
1633	331
1634	331
1635	331
1636	331
1637	331
1638	331
1639	331
1640	331
1641	331
1642	331
1643	331
1644	331
1645	331
1646	331
1647	331
1648	331
1649	331
1650	331
1651	331
1652	331
1653	331
1654	331
1655	331
1656	331
1657	331
1658	331
1659	331
1660	331
1661	331
1662	331
1663	331
1664	331
1665	331
1666	331
1667	331
1668	331
1669	331
1670	331
1671	331
1672	331
1673	331
1674	331
1675	331
1676	331
1677	331
1678	331
1679	331
1680	331
1681	331
1682	331
1683	331
1684	331
1685	331
1686	331
1687	331
1688	331
1689	331
1690	331
1691	331
1692	331
1693	331
1694	331
1695	331
1696	331
1697	331
1698	331
1699	331
1700	331
1701	331
1702	331
1703	331
1704	331
1705	331
1706	331
1707	331
1708	331
1709	331
1710	331
1711	331
1712	331
1713	331
1714	331
1715	331
1716	331
1717	331
1718	331
1719	331
1720	331
1721	331
1722	331
1723	331
1724	331
1725	331
1726	331
1727	331
1728	331
1729	331
1730	331
1731	331
1732	331
1733	331
1734	331
1735	331
1736	331
1737	331
1738	331
1739	331
1740	331
1741	331
1742	331
1743	331
1744	331
1745	331
1746	331
1747	331
1748	331
1749	331
1750	331
1751	331
1752	331
1753	331
1754	331
1755	331
1756	331
1757	331
1758	331
1759	331
1760	331
1761	331
1762	331
1763	331
1764	331
1765	331
1766	331
1767	331
1768	331
1769	331
1770	331
1771	331
1772	331
1773	331
1774	331
1775	331
1776	331
1777	331
1778	331
1779	331
1780	331
1781	331
1782	331
1783	331
1784	331
1785	331
1786	331
1787	331
1788	331
1789	331
1790	331
1791	331
1792	331
1793	331
1794	331
1795	331
1796	331
1797	331
1798	331
1799	331
1800	331
1801	331
1802	331
1803	331
1804	331
1805	331
1806	331
1807	331
1808	331
1809	331
1810	331
1811	331
1812	331
1813	331
1814	331
1815	331
1816	331
1817	331
1818	331
1819	331
1820	331
1821	331
1822	331
1823	331
1824	331
1825	331
1826	331
1827	331
1828	331
1829	331
1830	331
1831	331
1832	331
1833	331
1834	331
1835	331
1836	331
1837	331
1838	331
1839	331
1840	331
1841	331
1842	331
1843	331
1844	331
1845	331
1846	331
1847	331
1848	331
1849	331
1850	331
1851	331
1852	331
1853	331
1854	331
1855	331
1856	331
1857	331
1858	331
1859	331
1860	331
1861	331
1862	331
1863	331
1864	331
1865	331
1866	331
1867	331
1868	331
1869	331
1870	331
1871	331
1872	331
1873	331
1874	331
1875	331
1876	331
1877	331
1878	331
1879	331
1880	331
1881	331
1882	331
1883	331
1884	331
1885	331
1886	331
1887	331
1888	331
1889	331
1890	331
1891	331
1892	331
1893	331
1894	331
1895	331
1896	331
1897	331
1898	331
1899	331
1900	331
1901	331
1902	331
1903	331
1904	331
1905	331
1906	331
1907	331
1908	331
1909	331
1910	331
1911	331
1912	331
1913	331
1914	331
1915	331
1916	331
1917	331
1918	331
1919	331
1920	331
1921	331
1922	331
1923	331
1924	331
1925	331
1926	331
1927	331
1928	331
1929	331
1930	331
1931	331
1932	331
1933	331
1934	331
1935	331
1936	331
1937	331
1938	331
1939	331
1940	331
1941	331
1942	331
1943	331
1944	331
1945	331
1946	331
1947	331
1948	331
1949	331
1950	331
1951	331
1952	331
1953	331
1954	331
1955	331
1956	331
1957	331
1958	331
1959	331
1960	331
1961	331
1962	331
1963	331
1964	331
1965	331
1966	331
1967	331
1968	331
1969	331
1970	331
1971	331
1972	331
1973	331
1974	331
1975	331
1976	331
1977	331
1978	331
1979	331
1980	331
1981	331
1982	331
1983	331
1984	331
1985	331
1986	331
1987	331
1988	331
1989	331
1990	331
1991	331
1992	331
1993	331
1994	331
1995	331
1996	331
1997	331
1998	331
1999	331
